epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,559.014,1.06806,4.23952,1.45567,0.10208,0.08024,0.07207,0.0466,1.09668,4.92106,1.58487,0.000116413,0.000116413,0.000116413
2,879.898,1.09786,3.4721,1.44468,0.66791,0.19528,0.27493,0.19646,1.30815,4.20517,1.78305,0.000226091,0.000226091,0.000226091
3,1324.21,1.1144,2.79695,1.45138,0.54255,0.32763,0.38021,0.23287,1.39988,3.5753,1.84633,0.000326344,0.000326344,0.000326344
4,1649.69,1.12322,2.62741,1.45762,0.54688,0.38711,0.40866,0.25998,1.30563,3.3768,1.7446,0.000314588,0.000314588,0.000314588
5,2052.73,1.08,2.40334,1.43861,0.68161,0.44727,0.49085,0.2999,1.30747,2.96077,1.72933,0.000300451,0.000300451,0.000300451
6,2363.16,1.05512,2.26498,1.41517,0.46689,0.46695,0.4537,0.28444,1.38664,3.22978,1.86072,0.000286314,0.000286314,0.000286314
7,2557.41,1.07211,2.18296,1.41977,0.62454,0.45198,0.49876,0.30947,1.31221,3.01075,1.77771,0.000272177,0.000272177,0.000272177
8,2775.31,1.0342,2.08319,1.39049,0.61921,0.52391,0.52944,0.32727,1.35953,2.92326,1.76392,0.00025804,0.00025804,0.00025804
9,3019.32,0.98792,1.89875,1.33936,0.50139,0.53173,0.53243,0.34221,1.34977,2.61971,1.77338,0.000243902,0.000243902,0.000243902
10,3260.89,0.98828,1.85307,1.3472,0.67806,0.51477,0.58374,0.38152,1.28234,2.47845,1.67489,0.000229765,0.000229765,0.000229765
11,4451.83,0.98765,1.87956,1.32471,0.64636,0.5019,0.55298,0.34881,1.36595,2.56585,1.80577,0.000215628,0.000215628,0.000215628
12,4661.41,0.97964,1.7948,1.33558,0.51867,0.59774,0.63303,0.40853,1.33229,2.64607,1.74297,0.000201491,0.000201491,0.000201491
13,4880.82,0.94835,1.65976,1.28645,0.73256,0.54373,0.62291,0.40353,1.33582,2.42187,1.7765,0.000187354,0.000187354,0.000187354
14,5086.6,0.95462,1.65249,1.31822,0.6775,0.56449,0.62056,0.41112,1.2818,2.36538,1.66971,0.000173216,0.000173216,0.000173216
15,5292.57,0.88317,1.55047,1.25573,0.78521,0.53516,0.62713,0.41693,1.26992,2.22999,1.67242,0.000159079,0.000159079,0.000159079
16,5496.84,0.91686,1.97715,1.34653,0.63726,0.55668,0.58948,0.36798,1.50067,2.42578,1.92074,0.000144942,0.000144942,0.000144942
17,5694.18,0.86711,1.79821,1.3101,0.78118,0.51427,0.62979,0.42957,1.25358,2.14599,1.61189,0.000130805,0.000130805,0.000130805
18,5892.4,0.83174,1.67948,1.26891,0.70491,0.58007,0.6464,0.44828,1.18882,2.15786,1.55914,0.000116668,0.000116668,0.000116668
19,6110,0.81874,1.63901,1.25396,0.70364,0.59932,0.63673,0.44313,1.19835,2.05442,1.55875,0.00010253,0.00010253,0.00010253
20,6353.52,0.78989,1.60921,1.24319,0.74777,0.61861,0.66122,0.45234,1.16278,1.9597,1.55701,8.83932e-05,8.83932e-05,8.83932e-05
21,6587.08,0.76997,1.51306,1.21592,0.7816,0.57101,0.651,0.45443,1.14119,2.00264,1.53256,7.4256e-05,7.4256e-05,7.4256e-05
22,6814.64,0.74153,1.50046,1.20446,0.81374,0.59286,0.68711,0.4719,1.13654,1.9172,1.52221,6.01188e-05,6.01188e-05,6.01188e-05
23,7060.07,0.72177,1.43718,1.16739,0.67521,0.64394,0.67672,0.46429,1.16074,1.94182,1.52579,4.59816e-05,4.59816e-05,4.59816e-05
24,7325.68,0.71515,1.42247,1.17488,0.6785,0.65912,0.68361,0.45955,1.1631,1.92209,1.52308,3.18444e-05,3.18444e-05,3.18444e-05
25,7592.41,0.71075,1.38022,1.15682,0.72365,0.65153,0.69664,0.46855,1.16657,1.89453,1.53064,1.77072e-05,1.77072e-05,1.77072e-05
